,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
711,"10,248 km",2020 Maruti Alto VXI,November 2017,First Owner,NA,Expired,DL12,Petrol,MANUAL,"₹ 381,000"
712,"7,010 km",2015 Honda Amaze 1.2 EMT I VTEC,February 2019,First Owner,22/4/2021,Insurance Expired,DL4C,Petrol,MANUAL,"₹ 420,000"
713,"84,947 km",2012 Hyundai i10 MAGNA 1.1 IRDE2,August 2008,First Owner,NA,Zero Depreciation,DL10,Petrol,MANUAL,"₹ 170,000"
714,"33,513 km",2016 Maruti Vitara Brezza VDI OPT,November 2015,First Owner,1/2/2021,Comp,DL2C,Petrol,MANUAL,"₹ 610,000"
715,"26,185 km",2014 Maruti Swift Dzire VDI BS IV,June 2011,Second Owner,NA,Expired,DL6C,Petrol,MANUAL,"₹ 402,000"
716,"4,407 km",2012 Ford Figo 1.4 EXI DURATORQ ,March 2019,First Owner,19/2/2021,Zero Depreciation,DL10,Petrol,MANUAL,"₹ 135,000"
717,"31,914 km",2017 Maruti Eeco 7 STR,October 2013,First Owner,NA,Comprehensive,DL8C,Diesel,MANUAL,"₹ 300,000"
718,"19,885 km",2018 Maruti Eeco 5 STR WITH AC PLUSHTR,March 2017,First Owner,9/3/2021,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 320,000"
719,"8,538 km",2010 Hyundai i10 SPORTZ 1.2 KAPPA2,January 2020,First Owner,NA,3rd Party,DL4C,Petrol + CNG,MANUAL,"₹ 168,000"
720,"4,970 km",2017 Maruti IGNIS DELTA 1.2 K12 ,March 2020,First Owner,1/5/2021,Zero Depreciation,HR13,Petrol,MANUAL,"₹ 415,000"
721,"16,393 km",2015 Renault Kwid RXT,June 2015,First Owner,NA,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 250,000"
722,"67,152 km",2019 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,November 2012,First Owner,1/5/2021,Comprehensive,DL5C,Petrol,MANUAL,"₹ 425,000"
723,"32,023 km",2018 Volkswagen Ameo COMFORTLINE 1.5,April 2016,First Owner,NA,Comp,HR10,Diesel,NA,"₹ 541,500"
724,"34,459 km",2016 Mahindra Kuv100 K4 6 STR,August 2014,First Owner,16/10/2021,Comp,DL8C,Diesel,MANUAL,"₹ 300,000"
725,"57,834 km",2011 Hyundai i20 MAGNA O 1.4 CRDI,December 2012,First Owner,19/10/2021,Comp,DL10,Diesel,NA,"₹ 170,000"
726,"27,006 km",2016 Tata Tiago XZ 1.2 REVOTRON,March 2017,First Owner,29/3/2021,Zero Depreciation,DL1C,Petrol + CNG,MANUAL,"₹ 359,000"
727,"16,731 km",2014 Hyundai Verna FLUIDIC 1.6 SX CRDI,April 2018,First Owner,22/4/2021,3rd Party,DL12,Petrol,MANUAL,"₹ 450,000"
728,"51,528 km",2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,November 2010,Second Owner,13/2/2021,Expired,JH10,Petrol,MANUAL,"₹ 427,500"
729,"18,915 km",2016 Maruti Baleno DELTA 1.2 K12 ,February 2017,First Owner,NA,Zero Depreciation,DL5C,Petrol + CNG,MANUAL,"₹ 460,000"
730,"22,893 km",2011 Maruti Swift LXI,November 2015,First Owner,27/11/2021,Zero_Dep,DL8C,Petrol + CNG,MANUAL,"₹ 199,500"
731,"6,161 km",2015 Ford Ecosport 1.5 TITANIUM TI VCT AT,July 2019,First Owner,15/8/2022,3rd Party,DL1C,Petrol + CNG,MANUAL,"₹ 650,000"
732,"12,718 km",2011 Tata Safari 4X2 EX DICOR BS IV,June 2018,First Owner,27/7/2021,Zero Depreciation,JH01,Diesel,MANUAL,"₹ 225,000"
733,"31,934 km",2011 Hyundai i10 MAGNA 1.2 KAPPA2,May 2016,First Owner,5/10/2021,Comp,HR26,Petrol,MANUAL,"₹ 210,000"
734,"66,719 km",2012 Nissan Sunny XL PETROL,August 2011,Second Owner,30/3/2021,Insurance Expired,DL1C,Diesel,MANUAL,"₹ 198,782"
735,"15,524 km",2010 Chevrolet Beat LT PETROL,April 2016,First Owner,NA,Expired,DL4C,Petrol,MANUAL,"₹ 145,800"
736,"33,284 km",2015 Hyundai i20 Active 1.2 SX,February 2014,First Owner,3/11/2021,Comprehensive,DL8C,Diesel,MANUAL,"₹ 543,000"
737,"17,811 km",2014 Hyundai Eon ERA PLUS,October 2018,First Owner,NA,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 170,000"
738,"20,706 km",2018 Maruti Wagon R 1.0 VXI,September 2016,First Owner,11/5/2021,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 385,000"
739,"35,285 km",2012 Hyundai Verna FLUIDIC 1.6 SX CRDI,January 2011,Second Owner,NA,Comp,DL11,Petrol + CNG,MANUAL,"₹ 377,000"
740,"15,395 km",2018 Maruti Baleno DELTA 1.2 K12 ,December 2015,First Owner,2/4/2021,Insurance Expired,HR26,Petrol,AUTOMATIC,"₹ 550,000"
741,"45,769 km",2017 Maruti Swift LXI OPT,March 2011,First Owner,NA,Comp,DL3C,Diesel,MANUAL,"₹ 470,000"
742,"32,310 km",2013 Maruti Wagon R Stingray LXI,April 2011,First Owner,5/9/2021,Comp,DL8C,Petrol,MANUAL,"₹ 250,000"
743,"55,304 km",2016 Hyundai Elite i20 MAGNA 1.2,January 2012,First Owner,9/8/2021,Expired,HR11,Petrol,MANUAL,"₹ 390,000"
744,"15,293 km",2013 Maruti Ertiga VDI ABS,June 2010,First Owner,NA,Comprehensive,DL2C,Petrol,MANUAL,"₹ 350,000"
745,"24,811 km",2014 Hyundai Elite i20 MAGNA 1.2,October 2015,First Owner,23/1/2021,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 400,000"
746,"60,427 km",2020 Maruti Alto LXI,July 2014,First Owner,NA,Third_party,DL3C,Petrol,MANUAL,"₹ 340,000"
747,"7,118 km",2014 Maruti Swift Dzire LDI BS IV,October 2018,First Owner,22/10/2020,Comprehensive,DL6C,Petrol,MANUAL,"₹ 340,000"
748,"43,483 km",2010 Skoda Fabia CLASSIC 1.2 MPI,October 2012,First Owner,24/11/2020,Comp,HR26,Diesel,MANUAL,"₹ 140,000"
749,"7,521 km",2013 Maruti Swift LDI BS IV,August 2018,First Owner,19/9/2020,Zero Depreciation,DL12,Petrol,MANUAL,"₹ 280,000"
750,"10,212 km",2011 Ford Figo 1.4 TITANIUM DURATORQ,February 2017,First Owner,13/12/2020,Expired,DL9C,Petrol,MANUAL,"₹ 158,000"
751,"28,693 km",2019 Ford Figo Aspire 1.2 TITANIUM+ PETROL,September 2013,First Owner,NA,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 650,000"
752,"32,311 km",2018 Maruti Eeco 5 STR WITH AC PLUSHTR,July 2016,Third Owner,10/2/2021,Insurance Expired,DL5C,Petrol + CNG,MANUAL,"₹ 335,414"
753,"47,332 km",2018 Maruti IGNIS DELTA 1.2 K12 ,January 2013,First Owner,NA,Zero Depreciation,DL8C,Diesel,MANUAL,"₹ 450,000"
754,"38,865 km",2010 Hyundai i10 MAGNA 1.2,November 2014,First Owner,3/6/2021,Expired,DL2C,Petrol,MANUAL,"₹ 135,000"
755,"2,257 km",2017 Hyundai Xcent E PLUS,June 2020,First Owner,NA,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 420,000"
756,"30,698 km",2011 Maruti Zen Estilo LXI,July 2014,First Owner,18/8/2021,Comprehensive,DL8C,Diesel,MANUAL,"₹ 130,000"
757,"36,703 km",2015 Maruti Alto 800 LXI,April 2010,Second Owner,1/7/2021,3rd Party,DL9C,Petrol,MANUAL,"₹ 215,000"
758,"41,775 km",2011 Hyundai i20 MAGNA O 1.2,February 2013,First Owner,29/3/2021,Comprehensive,DL8C,Diesel,MANUAL,"₹ 165,000"
759,"59,148 km",2014 Hyundai i10 SPORTZ 1.1 IRDE2,March 2011,First Owner,7/9/2021,Comprehensive,DL3C,Diesel,MANUAL,"₹ 270,000"
760,"3,479 km",2011 Tata Manza AURA ABS QUADRAJET BS IV,January 2019,First Owner,29/7/2021,Zero_Dep,UP84,Petrol,MANUAL,"₹ 100,000"
761,"15,988 km",2014 Maruti Swift VXI,September 2018,First Owner,18/6/2021,Insurance Expired,DL8C,Petrol + CNG,MANUAL,"₹ 400,000"
762,"15,306 km",2020 Maruti Baleno ZETA 1.2 K12 ,May 2018,First Owner,NA,Zero_Dep,DL2C,Petrol,MANUAL,"₹ 782,000"
763,"40,105 km",2012 Mahindra XUV500 W8 FWD,August 2010,Second Owner,30/1/2021,Third_party,DL7C,Petrol,MANUAL,"₹ 450,000"
764,"25,715 km",2018 Renault Kwid 1.0 RXT Opt AT,April 2017,First Owner,20/5/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 390,000"
765,"53,876 km",2010 Hyundai Accent EXECUTIVE,January 2011,First Owner,20/6/2021,Third_party,HR26,Petrol,MANUAL,"₹ 113,175"
766,"30,441 km",2011 Tata Nano STD,December 2015,First Owner,24/12/2020,Zero Depreciation,DL4C,Petrol + CNG,MANUAL,"₹ 50,000"
767,"62,670 km",2016 Renault Kwid RXT,May 2011,Third Owner,22/1/2021,Comp,DL8C,Petrol + CNG,MANUAL,"₹ 213,602"
768,"36,866 km",2016 Hyundai Grand i10 SPORTS 1.2 VTVT,January 2014,First Owner,7/4/2021,Zero Depreciation,DL5C,Petrol,MANUAL,"₹ 410,000"
769,"44,083 km",2012 Hyundai Verna FLUIDIC 1.6 SX VTVT OPT AT,January 2011,First Owner,23/4/2021,Comprehensive,DL12,Diesel,MANUAL,"₹ 325,000"
770,"28,868 km",2012 Chevrolet Beat LT DIESEL,May 2014,First Owner,17/6/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 120,000"
771,"2,826 km",2013 Hyundai i10 MAGNA 1.1 IRDE2,January 2020,First Owner,27/5/2021,Zero Depreciation,DL9C,Petrol,MANUAL,"₹ 250,000"
772,"12,674 km",2015 Ford Ecosport 1.5AMBIENTE TI VCT,July 2012,First Owner,21/4/2021,Expired,DL11,Diesel,MANUAL,"₹ 490,000"
773,"4,529 km",2015 Maruti Swift VXI,December 2018,First Owner,NA,Zero Depreciation,DL2C,Petrol,AUTOMATIC,"₹ 373,000"
774,"50,069 km",2011 Hyundai i10 ERA 1.1 IRDE,August 2010,First Owner,15/10/2020,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 145,000"
775,"20,508 km",2013 Maruti Swift VXI,November 2011,First Owner,NA,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 300,000"
776,"20,183 km",2016 Maruti Wagon R 1.0 LXI,October 2016,First Owner,6/10/2021,Expired,DL3C,Petrol,MANUAL,"₹ 300,000"
777,"13,438 km",2016 Maruti Wagon R 1.0 VXI,December 2016,First Owner,NA,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 300,000"
778,"60,980 km",2017 Renault Kwid RXT 1.0 EASY-R AT OPTION,January 2012,Third Owner,20/2/2021,Insurance Expired,DL8C,Petrol,AUTOMATIC,"₹ 350,000"
779,"66,712 km",2013 Mahindra Quanto C8,August 2012,First Owner,NA,Insurance Expired,DL12,Diesel,MANUAL,"₹ 195,000"
780,"34,958 km",2012 Mahindra XUV500 W6 4X2,October 2013,First Owner,28/3/2021,Expired,DL4C,Petrol,MANUAL,"₹ 390,000"
781,"28,542 km",2015 Maruti Wagon R 1.0 VXI,October 2015,First Owner,NA,Zero Depreciation,DL5C,Petrol,MANUAL,"₹ 305,000"
782,"22,303 km",2012 Hyundai i10 ERA 1.1 IRDE,November 2015,Second Owner,16/7/2021,Comprehensive,DL3C,Petrol,MANUAL,"₹ 174,000"
783,"65,837 km",2011 Maruti Wagon R 1.0 LXI,June 2011,First Owner,NA,Comprehensive,DL5C,Petrol,MANUAL,"₹ 190,000"
784,"46,762 km",2007 Honda City ZX 1.5 EXI,March 2013,First Owner,6/6/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 160,000"
785,"28,587 km",2014 Nissan Terrano XL P,October 2016,First Owner,NA,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 475,000"
786,"30,776 km",2017 Hyundai Grand i10 Magna 1.2 AT  VTVT,June 2016,First Owner,30/12/2020,Zero Depreciation,DL12,Petrol,MANUAL,"₹ 400,000"
787,"5,354 km",2018 Maruti Baleno DELTA 1.2 K12 ,August 2017,First Owner,NA,Zero_Dep,DL7C,Petrol,AUTOMATIC,"₹ 590,000"
788,"45,766 km",2014 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,January 2013,First Owner,9/9/2021,Comp,DL9C,Diesel,MANUAL,"₹ 350,000"
789,"62,080 km",2014 Maruti Swift VDI,May 2012,First Owner,NA,Insurance Expired,DL6C,Diesel,MANUAL,"₹ 380,000"
790,"30,958 km",2011 Hyundai i10 MAGNA 1.2 KAPPA2,June 2015,Second Owner,11/5/2021,Comprehensive,DL10,Petrol,MANUAL,"₹ 200,000"
791,"46,883 km",2011 Maruti Eeco 7 STR,March 2012,Third Owner,NA,3rd Party,DL6C,Petrol,MANUAL,"₹ 157,500"
792,"35,297 km",2012 Tata Nano LX,December 2011,Second Owner,9/7/2021,Insurance Expired,DL4C,Petrol,MANUAL,"₹ 60,000"
793,"72,260 km",2016 Hyundai Elite i20 ASTA 1.2 (O),June 2007,First Owner,11/10/2020,Third_party,DL2C,Petrol + CNG,MANUAL,"₹ 530,000"
794,"32,737 km",2016 Tata Tiago XT 1.2 REVOTRON,January 2014,First Owner,NA,3rd Party,DL10,Petrol,AUTOMATIC,"₹ 340,000"
795,"12,558 km",2014 Toyota Etios G,April 2017,Third Owner,12/9/2021,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 383,000"
796,"6,497 km",2013 Chevrolet Sail UVA 1.3 LS,August 2018,First Owner,NA,Zero_Dep,DL10,Petrol,MANUAL,"₹ 153,000"
797,"19,121 km",2014 Ford Ecosport 1.0 ECOBOOST TITANIUM OPT,September 2014,First Owner,23/10/2021,Comprehensive,DL10,Petrol,NA,"₹ 460,000"
798,"34,551 km",2013 Maruti Swift VXI,January 2014,First Owner,18/2/2021,Comprehensive,DL8C,Diesel,MANUAL,"₹ 345,000"
799,"25,779 km",2016 Maruti Ciaz SHVS VDI,October 2011,First Owner,26/12/2020,Expired,DL5C,Petrol,MANUAL,"₹ 590,000"
800,"26,600 km",2016 Renault Kwid RXL,December 2011,First Owner,NA,Third_party,HR51,Petrol,MANUAL,"₹ 210,000"
801,"34,910 km",2015 Honda Amaze 1.2 VXMT I VTEC,January 2012,First Owner,3/9/2021,Expired,DL10,Petrol,MANUAL,"₹ 360,713"
802,"28,092 km",2009 Maruti SX4 VXI,August 2016,Second Owner,NA,Insurance Expired,DL9C,Petrol,MANUAL,"₹ 150,000"
803,"20,838 km",2012 Hyundai Verna FLUIDIC 1.6 SX CRDI,November 2016,First Owner,3/12/2020,Expired,DL4C,Petrol,MANUAL,"₹ 380,000"
804,"24,516 km",2011 Maruti Alto K10 VXI ,January 2014,First Owner,NA,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 150,000"
805,"32,669 km",2011 Tata Indigo ECS LX CR4 BS IV,January 2013,First Owner,6/12/2021,Insurance Expired,DL9C,Diesel,MANUAL,"₹ 70,000"
806,"45,784 km",2008 Maruti Swift Dzire VXI,December 2014,First Owner,NA,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 135,000"
807,"31,864 km",2017 Hyundai Elite i20 ERA 1.2,October 2013,First Owner,8/11/2021,Zero Depreciation,DL12,Petrol,MANUAL,"₹ 450,000"
808,"31,297 km",2013 Mahindra XUV500 W6 4X2,April 2016,First Owner,NA,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 525,000"
809,"20,412 km",2016 Hyundai Elite i20 MAGNA 1.2,December 2016,Second Owner,31/5/2021,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 550,000"
810,"21,990 km",2017 Hyundai Elite i20 ASTA 1.2,June 2015,First Owner,NA,Zero Depreciation,DL7C,Petrol,MANUAL,"₹ 585,000"
811,"64,623 km",2017 Maruti Wagon R 1.0 VXI AMT,January 2009,First Owner,11/6/2021,Comprehensive,DL5C,Petrol,MANUAL,"₹ 358,277"
