,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
1236,"34,069 km",2012 Volkswagen Polo TRENDLINE 1.2L DIESEL,December 2012,First Owner,NA,Comp,DL14,Petrol,MANUAL,"₹ 190,000"
1237,"54,995 km",2011 Tata Nano LX,July 2012,First Owner,19/8/2021,Comp,DL3C,Diesel,MANUAL,"₹ 40,000"
1238,"28,196 km",2013 Hyundai Santro Xing GLS PLUS AUDIO,August 2008,First Owner,27/4/2021,Expired,DL4C,Petrol,MANUAL,"₹ 230,000"
1239,"25,786 km",2012 Volkswagen Vento HIGHLINE DIESEL,April 2017,First Owner,NA,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 280,000"
1240,"45,970 km",2013 Honda City V MT PETROL,October 2013,First Owner,19/4/2021,Expired,DL4C,Diesel,MANUAL,"₹ 455,000"
1241,"52,143 km",2009 Hyundai i10 ERA 1.1 IRDE,June 2008,Third Owner,NA,Third_party,DL8C,Petrol,MANUAL,"₹ 135,000"
1242,"18,062 km",2017 Maruti Eeco 5 STR,November 2013,Second Owner,4/1/2021,Zero Depreciation,DL12,Petrol,MANUAL,"₹ 270,000"
1243,"23,194 km",2014 Hyundai Grand i10 ASTA 1.2 (O) VTVT,November 2011,First Owner,23/12/2020,Comp,DL12,Petrol + CNG,MANUAL,"₹ 375,000"
1244,"16,074 km",2011 Maruti Wagon R 1.0 LXI,March 2018,First Owner,2/4/2021,Third_party,DL7C,Petrol,MANUAL,"₹ 160,000"
1245,"10,628 km",2010 Hyundai Santro Xing GL,July 2018,First Owner,18/8/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 140,000"
1246,"32,475 km",2016 Hyundai Grand i10 SPORTS 1.2 VTVT,June 2017,First Owner,15/8/2021,Comprehensive,DL8C,Petrol,MANUAL,"₹ 420,000"
1247,"62,300 km",2011 Hyundai Verna FLUIDIC 1.6 SX VTVT OPT,April 2012,Second Owner,8/6/2021,Comprehensive,DL8C,Diesel,MANUAL,"₹ 350,000"
1248,"51,139 km",2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,May 2011,First Owner,5/5/2021,3rd Party,DL4C,Petrol,MANUAL,"₹ 550,000"
1249,"59,044 km",2016 Maruti Wagon R 1.0 LXI,June 2013,First Owner,3/8/2021,Comp,HR12,Petrol,MANUAL,"₹ 259,821"
1250,"61,981 km",2010 Maruti Ritz LXI ,February 2012,First Owner,7/2/2021,Expired,DL2C,Diesel,MANUAL,"₹ 175,000"
1251,"46,030 km",2011 Tata Nano LX,January 2013,First Owner,NA,Comp,DL3C,Petrol,MANUAL,"₹ 36,000"
1252,"52,375 km",2016 Renault Kwid RXT,October 2009,First Owner,18/11/2021,Third_party,DL8C,Petrol,NA,"₹ 179,550"
1253,"27,145 km",2011 Hyundai i20 SPORTZ 1.2 O,August 2017,First Owner,12/3/2021,Insurance Expired,DL10,Petrol + CNG,MANUAL,"₹ 185,000"
1254,"33,767 km",2019 Maruti Baleno DELTA 1.2 K12 ,January 2014,First Owner,NA,Comprehensive,DL9C,Petrol,MANUAL,"₹ 610,000"
1255,"51,505 km",2015 Maruti Baleno DELTA 1.2 K12 ,March 2011,Third Owner,26/6/2021,3rd Party,DL8C,Petrol + CNG,MANUAL,"₹ 450,000"
1256,"31,738 km",2012 Hyundai Verna FLUIDIC 1.6 SX VTVT,May 2010,First Owner,15/9/2021,3rd Party,DL10,Petrol,MANUAL,"₹ 389,385"
1257,"32,282 km",2012 Mahindra XUV500 W8 FWD,January 2016,First Owner,27/3/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 525,000"
1258,"54,927 km",2016 Maruti Wagon R 1.0 VXI,July 2011,Second Owner,20/8/2021,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 300,000"
1259,"2,778 km",2011 Maruti Swift VXI,July 2018,First Owner,NA,Comprehensive,UP16,Petrol,MANUAL,"₹ 235,688"
1260,"51,545 km",2008 Honda City S MT PETROL,September 2016,Second Owner,9/6/2021,Insurance Expired,DL4C,Petrol + CNG,MANUAL,"₹ 185,250"
1261,"51,270 km",2010 Maruti Swift VXI,June 2010,First Owner,NA,Comp,DL3C,Petrol,MANUAL,"₹ 177,600"
1262,"83,135 km",2010 Hyundai Sonata Transform 2.4 VTVT,November 2011,First Owner,31/12/2020,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 180,000"
1263,"37,424 km",2017 Maruti Swift VXI,October 2016,Second Owner,NA,Zero_Dep,DL6C,Petrol,MANUAL,"₹ 445,000"
1264,"49,510 km",2013 Honda Amaze 1.2 SMT I VTEC,August 2011,First Owner,4/10/2021,Expired,DL4C,Petrol,MANUAL,"₹ 350,000"
1265,"5,821 km",2011 Tata Nano LX,August 2019,First Owner,NA,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 32,000"
1266,"36,868 km",2016 Mahindra Kuv100 K8 6 STR,November 2015,First Owner,21/11/2021,Comp,DL12,Petrol,MANUAL,"₹ 400,000"
1267,"52,838 km",2011 Hyundai i20 ASTA 1.2,April 2012,Second Owner,7/4/2021,Comp,DL10,Petrol,MANUAL,"₹ 262,000"
1268,"32,883 km",2010 Hyundai i10 MAGNA 1.2 KAPPA2,July 2012,First Owner,6/8/2021,Expired,DL7C,Diesel,MANUAL,"₹ 210,600"
1269,"40,514 km",2020 Maruti Baleno ZETA 1.2 K12 ,June 2016,First Owner,NA,Third_party,DL10,Petrol + CNG,MANUAL,"₹ 710,000"
1270,"52,644 km",2013 Maruti Swift Dzire LDI BS IV,January 2011,First Owner,19/2/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 290,000"
1271,"74,523 km",2008 Hyundai Santro Xing GLS,August 2008,Fourth Owner,16/10/2020,Insurance Expired,DL4C,Petrol + CNG,MANUAL,"₹ 118,000"
1272,"69,418 km",2010 Hyundai i10 ERA,April 2010,Second Owner,NA,Expired,DL8C,Petrol,MANUAL,"₹ 130,000"
1273,"70,326 km",2011 Maruti Wagon R 1.0 LXI,January 2010,Second Owner,26/11/2020,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 215,000"
1274,"28,990 km",2011 Honda City S MT PETROL,October 2017,First Owner,NA,3rd Party,DL12,Petrol,MANUAL,"₹ 299,552"
1275,"36,674 km",2012 Hyundai i10 SPORTZ 1.2 KAPPA2,November 2013,First Owner,6/2/2021,Zero Depreciation,DL4C,Petrol,MANUAL,"₹ 250,000"
1276,"57,320 km",2006 Hyundai Santro Xing XL ERLX EURO III,November 2011,First Owner,NA,Third_party,DL2C,Petrol,MANUAL,"₹ 65,000"
1277,"10,354 km",2005 Toyota Corolla H2 1.8 E,May 2016,First Owner,28/12/2020,Insurance Expired,DL4C,Petrol,MANUAL,"₹ 125,000"
1278,"40,495 km",2011 Honda City V MT PETROL,November 2011,First Owner,NA,Expired,DL1C,Petrol,MANUAL,"₹ 304,000"
1279,"8,229 km",2014 Hyundai Grand i10 SPORTZ EDITION DIESEL,November 2010,First Owner,21/1/2023,Comprehensive,DL9C,Petrol,MANUAL,"₹ 330,000"
1280,"4,457 km",2018 Maruti Alto 800 LXI,January 2020,First Owner,NA,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 292,500"
1281,"55,782 km",2011 Chevrolet Beat LT LPG,December 2013,Second Owner,30/12/2020,Comp,DL13,Diesel,MANUAL,"₹ 142,000"
1282,"44,931 km",2015 Maruti Swift VXI,February 2008,First Owner,1/11/2021,Expired,DL3C,Petrol,MANUAL,"₹ 350,000"
1283,"67,713 km",2017 Hyundai Elite i20 Magna Executive 1.2,October 2010,First Owner,NA,Comp,DL12,Petrol,MANUAL,"₹ 450,000"
1284,"27,566 km",2015 Honda City V MT PETROL,December 2011,First Owner,27/12/2020,Comp,DL1C,Petrol,MANUAL,"₹ 550,000"
1285,"60,442 km",2013 Hyundai Grand i10 ASTA 1.1 CRDI,February 2011,First Owner,12/8/2021,Expired,DL8C,Petrol,MANUAL,"₹ 340,000"
1286,"58,680 km",2011 Mahindra XUV500 W8 AWD,June 2012,First Owner,NA,Insurance Expired,DL4C,Petrol + CNG,MANUAL,"₹ 329,001"
1287,"53,834 km",2020 Renault TRIBER RXE MT PETROL,March 2006,First Owner,14/2/2021,Comprehensive,DL12,Petrol,MANUAL,"₹ 500,000"
1288,"99,937 km",2013 Honda Brio 1.2 S MT I VTEC,October 2005,Second Owner,NA,Expired,DL9C,Petrol,MANUAL,"₹ 325,000"
1289,"57,490 km",2012 Hyundai i10 MAGNA 1.1 IRDE2,February 2011,First Owner,5/9/2021,Comp,DL8C,Petrol,MANUAL,"₹ 175,000"
1290,"38,501 km",2019 Honda Amaze 1.2 SMT I VTEC,April 2014,First Owner,17/11/2020,3rd Party,DL4C,Diesel,MANUAL,"₹ 650,000"
1291,"19,470 km",2010 Maruti Alto LXI,August 2018,First Owner,NA,Comp,DL9C,Petrol + CNG,MANUAL,"₹ 103,517"
1292,"35,112 km",2018 Maruti IGNIS SIGMA 1.2 K12 ,July 2011,First Owner,14/7/2021,3rd Party,DL9C,Petrol + LPG,NA,"₹ 400,000"
1293,"28,897 km",2014 Honda Mobilio 1.5 V I DTEC,May 2015,Second Owner,12/5/2021,Zero Depreciation,DL4C,Petrol,MANUAL,"₹ 420,000"
1294,"23,625 km",2017 Tata TIGOR Revotron XZA 1.2,March 2017,Second Owner,12/7/2021,3rd Party,DL2C,Petrol,MANUAL,"₹ 496,000"
1295,"43,696 km",2012 Maruti Ertiga VDI,November 2015,Second Owner,29/8/2021,Comp,DL2C,Petrol,MANUAL,"₹ 425,000"
1296,"3,720 km",2013 Maruti Zen Estilo LXI,August 2013,First Owner,30/5/2021,Comp,DL12,Diesel,MANUAL,"₹ 161,000"
1297,"59,742 km",2014 Maruti Swift Dzire VDI BS IV,October 2011,Second Owner,4/2/2023,Expired,DL6C,Diesel,MANUAL,"₹ 414,000"
1298,"29,139 km",2017 Renault Duster RXE PETROL 104,January 2020,First Owner,27/3/2021,3rd Party,DL12,Petrol,MANUAL,"₹ 650,000"
1299,"26,911 km",2009 Hyundai i10 ERA,March 2013,First Owner,NA,3rd Party,DL4C,Petrol,MANUAL,"₹ 101,750"
1300,"65,276 km",2018 Mahindra KUV 100 NXT K4+ 6S,September 2012,Second Owner,10/11/2020,Insurance Expired,DL12,Petrol,MANUAL,"₹ 350,000"
1301,"6,448 km",2013 Renault Duster 85 PS RXL,October 2019,First Owner,NA,Expired,DL8C,Petrol,MANUAL,"₹ 306,000"
1302,"41,292 km",2012 Maruti Swift Dzire VDI BS IV,August 2010,Second Owner,26/7/2021,3rd Party,DL12,Petrol,MANUAL,"₹ 325,000"
1303,"22,016 km",2011 Maruti Swift LXI,January 2018,First Owner,NA,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 250,000"
1304,"23,458 km",2015 Honda Brio 1.2 VX AT I VTEC,July 2014,First Owner,8/10/2021,Comp,JH10,Diesel,MANUAL,"₹ 300,000"
1305,"15,684 km",2016 Maruti Swift ZXI,September 2017,First Owner,24/5/2021,Third_party,DL2C,Petrol,MANUAL,"₹ 440,000"
1306,"18,019 km",2006 Toyota Camry W2 AT,May 2012,First Owner,NA,Comp,DL4C,Diesel,NA,"₹ 250,000"
1307,"62,134 km",2012 Ford Figo 1.4 EXI DURATORQ ,September 2013,First Owner,25/11/2020,Third_party,DL10,Petrol,MANUAL,"₹ 135,000"
1308,"41,603 km",2016 Renault Kwid RXT,April 2014,First Owner,25/8/2021,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 230,000"
1309,"11,960 km",2012 Maruti Swift Dzire VXI 1.2 BS IV,January 2017,First Owner,NA,Comp,DL6C,Petrol,MANUAL,"₹ 350,000"
1310,"40,900 km",2015 Hyundai Elite i20 MAGNA 1.2,April 2009,First Owner,17/11/2020,Comp,DL9C,Petrol,NA,"₹ 452,153"
1311,"11,830 km",2011 Maruti Ritz LDI ,March 2018,First Owner,21/3/2021,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 156,000"
1312,"43,934 km",2013 Maruti Swift Dzire LDI BS IV,January 2013,First Owner,6/7/2021,Insurance Expired,DL1C,Diesel,MANUAL,"₹ 315,798"
1313,"51,711 km",2018 Hyundai Xcent S 1.2,June 2012,First Owner,NA,Expired,DL12,Diesel,MANUAL,"₹ 430,000"
1314,"33,653 km",2015 Maruti Wagon R 1.0 VXI AMT,May 2011,First Owner,6/7/2021,3rd Party,DL8C,Petrol,MANUAL,"₹ 312,345"
1315,"32,340 km",2013 Hyundai i20 MAGNA O 1.2,October 2015,First Owner,NA,Expired,DL3C,Petrol,AUTOMATIC,"₹ 351,000"
1316,"33,315 km",2011 Hyundai Verna FLUIDIC 1.6 SX VTVT,May 2016,Third Owner,24/3/2021,Zero_Dep,DL4C,Petrol + CNG,MANUAL,"₹ 320,000"
1317,"47,073 km",2010 Maruti Zen Estilo LXI,August 2006,First Owner,NA,Comp,DL9C,Petrol,AUTOMATIC,"₹ 124,000"
1318,"52,808 km",2012 Honda City S MT PETROL,June 2012,First Owner,27/4/2021,Expired,DL8C,Diesel,MANUAL,"₹ 350,000"
1319,"17,095 km",2017 Maruti Celerio VXI ,April 2016,Second Owner,NA,Comp,DL2C,Petrol,MANUAL,"₹ 321,290"
1320,"20,232 km",2013 Hyundai Santro Xing GL PLUS,March 2012,First Owner,3/4/2021,Comp,DL8C,Petrol,MANUAL,"₹ 244,000"
1321,"36,485 km",2009 Maruti Wagon R LXI,October 2015,First Owner,24/7/2021,Expired,DL5C,Petrol,MANUAL,"₹ 155,000"
1322,"76,542 km",2019 Maruti Dzire VXI,January 2011,Second Owner,NA,Insurance Expired,DL1C,Diesel,MANUAL,"₹ 670,000"
1323,"30,391 km",2012 Maruti Swift LDI BS IV,January 2013,First Owner,18/12/2020,Insurance Expired,DL1C,Diesel,MANUAL,"₹ 250,000"
1324,"24,516 km",2015 Maruti Swift VXI,April 2018,First Owner,NA,Comprehensive,DL12,Petrol,MANUAL,"₹ 379,554"
1325,"32,927 km",2014 Maruti Swift Dzire LDI BS IV,October 2015,First Owner,7/6/2021,Comprehensive,DL9C,Petrol + CNG,AUTOMATIC,"₹ 304,000"
1326,"21,778 km",2018 Maruti Eeco 5 STR WITH AC PLUSHTR,October 2013,First Owner,NA,Zero Depreciation,DL2C,Petrol,MANUAL,"₹ 301,150"
1327,"44,777 km",2011 Mahindra Scorpio VLX 2WD AIRBAG BS IV,September 2011,Second Owner,20/1/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 400,000"
1328,"58,023 km",2016 Maruti Swift LXI OPT,February 2010,First Owner,25/5/2021,Comp,DL1C,Petrol,MANUAL,"₹ 375,000"
1329,"57,017 km",2014 Maruti Swift VDI ABS,March 2012,First Owner,10/3/2021,Comp,DL9C,Petrol,MANUAL,"₹ 475,000"
1330,"20,170 km",2011 Ford Figo 1.2 LXI DURATEC ,May 2017,Second Owner,16/1/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 138,000"
1331,"36,999 km",2013 Maruti Swift Dzire VXI 1.2 BS IV,January 2013,First Owner,22/2/2021,Comp,DL3C,Petrol,MANUAL,"₹ 350,000"
1332,"18,452 km",2016 Hyundai Elite i20 SPORTZ 1.2,May 2009,First Owner,13/6/2021,Third_party,DL12,Petrol,MANUAL,"₹ 515,000"
1333,"10,925 km",2013 Maruti Wagon R 1.0 LXI,January 2019,First Owner,19/2/2021,Zero Depreciation,DL9C,Petrol,MANUAL,"₹ 250,000"
1334,"38,955 km",2012 Maruti Swift Dzire VXI 1.2 BS IV,February 2012,First Owner,5/10/2021,Third_party,DL9C,Diesel,MANUAL,"₹ 300,000"
1335,"38,308 km",2016 Hyundai Verna FLUIDIC 1.6 VTVT S AT,September 2015,First Owner,16/10/2021,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 648,000"
1336,"53,817 km",2017 Maruti Swift Dzire VXI 1.2 BS IV,October 2014,First Owner,8/11/2020,Comprehensive,DL14,Diesel,MANUAL,"₹ 410,000"
1337,"26,064 km",2013 Maruti Swift VXI,March 2018,First Owner,25/10/2021,Expired,DL5C,Petrol + CNG,MANUAL,"₹ 330,000"
1338,"63,640 km",2012 Maruti Swift Dzire ZDI,July 2011,First Owner,NA,Insurance Expired,DL2C,Diesel,MANUAL,"₹ 380,000"
1339,"21,154 km",2019 Renault Kwid RXL,October 2016,First Owner,23/2/2021,Comprehensive,HR10,Petrol,MANUAL,"₹ 300,000"
1340,"27,103 km",2019 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,December 2014,First Owner,NA,Comprehensive,DL12,Diesel,MANUAL,"₹ 572,000"
1341,"75,363 km",2012 Maruti Ritz VDI ,April 2011,First Owner,28/4/2021,Comprehensive,DL2C,Petrol,MANUAL,"₹ 220,000"
1342,"44,684 km",2016 Volkswagen Polo COMFORTLINE 1.2L PETROL,January 2013,First Owner,22/2/2021,Expired,DL10,Petrol,MANUAL,"₹ 406,747"
1343,"31,650 km",2016 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,September 2016,First Owner,NA,Expired,DL9C,Petrol,MANUAL,"₹ 257,213"
1344,"37,953 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,January 2013,First Owner,12/3/2021,Comprehensive,DL6C,Petrol,MANUAL,"₹ 400,000"
1345,"56,209 km",2010 Tata Indica Vista AQUA SAFIRE BS IV,March 2012,Second Owner,NA,Comprehensive,DL10,Petrol,MANUAL,"₹ 93,000"
1346,"28,645 km",2010 Maruti Ritz LXI ,January 2016,First Owner,20/2/2021,3rd Party,DL9C,Petrol,MANUAL,"₹ 140,000"
1347,"29,655 km",2016 Maruti Vitara Brezza VDI,February 2017,First Owner,21/10/2020,3rd Party,DL1C,Petrol,NA,"₹ 650,000"
1348,"35,877 km",2019 Maruti Alto K10 VXI (O) AMT,October 2013,First Owner,31/10/2020,Expired,DL3C,Petrol,MANUAL,"₹ 355,000"
1349,"53,817 km",2010 Maruti Swift LXI,January 2012,First Owner,31/7/2021,Comprehensive,DL13,Diesel,MANUAL,"₹ 186,000"
1350,"13,845 km",2012 Chevrolet Beat LS PETROL,March 2019,First Owner,9/4/2022,3rd Party,DL10,Petrol,MANUAL,"₹ 166,250"
1351,"5,544 km",2015 Toyota Etios G,April 2019,First Owner,10/9/2021,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 400,000"
1352,"40,592 km",2018 Maruti Dzire VXI,November 2012,First Owner,19/7/2021,Comp,DL8C,Diesel,MANUAL,"₹ 600,000"
1353,"32,805 km",2015 Hyundai Xcent SX 1.1 CRDI,November 2016,First Owner,21/1/2022,Comprehensive,DL8C,Petrol,MANUAL,"₹ 320,000"
1354,"53,452 km",2013 Volkswagen Vento HIGHLINE PETROL,May 2016,First Owner,23/9/2021,Insurance Expired,DL10,Petrol + CNG,MANUAL,"₹ 300,000"
1355,"7,966 km",2013 Maruti Wagon R 1.0 LXI CNG,August 2018,First Owner,NA,3rd Party,DL2C,Petrol + CNG,MANUAL,"₹ 250,000"
1356,"18,510 km",2012 Toyota Etios G,June 2010,First Owner,2/10/2020,Insurance Expired,DL10,Petrol,MANUAL,"₹ 225,000"
1357,"47,248 km",2011 Hyundai Accent EXECUTIVE GLE,December 2010,Second Owner,NA,3rd Party,DL7C,Petrol,MANUAL,"₹ 135,000"
1358,"30,638 km",2019 Maruti Wagon R 1.0 VXI,July 2016,First Owner,27/7/2021,Comprehensive,BR06,Diesel,MANUAL,"₹ 450,000"
1359,"25,573 km",2011 Tata Nano CX,March 2019,First Owner,25/12/2020,Insurance Expired,DL4C,Petrol,MANUAL,"₹ 40,000"
1360,"35,788 km",2016 Maruti Eeco 5 STR,August 2010,Second Owner,NA,Comprehensive,DL5C,Petrol,MANUAL,"₹ 250,000"
1361,"44,026 km",2012 Hyundai i20 MAGNA O 1.4 CRDI,April 2012,First Owner,17/9/2021,Comprehensive,DL2C,Petrol,NA,"₹ 237,500"
1362,"30,290 km",2011 Toyota Etios VX D,January 2015,First Owner,27/12/2021,Insurance Expired,DL4C,Petrol,MANUAL,"₹ 194,000"
1363,"20,090 km",2015 Maruti Ciaz ZXI PLUS,May 2018,First Owner,NA,Expired,UK08,Petrol + CNG,MANUAL,"₹ 465,000"
1364,"49,788 km",2015 Hyundai Elite i20 SPORTZ (O) 1.4,September 2015,First Owner,20/3/2021,Insurance Expired,DL1C,Diesel,MANUAL,"₹ 418,000"
1365,"39,951 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,March 2013,First Owner,NA,Comprehensive,DL2C,Petrol,MANUAL,"₹ 350,000"
1366,"46,657 km",2015 Hyundai New Elantra SX 1.8 MT,February 2013,First Owner,17/9/2021,Comp,DL7C,Petrol + CNG,MANUAL,"₹ 640,000"
1367,"49,058 km",2011 Honda City V MT PETROL,March 2012,Second Owner,NA,Third_party,DL4C,Petrol,MANUAL,"₹ 320,000"
1368,"53,009 km",2009 Maruti SX4 VXI,March 2011,First Owner,30/6/2021,Comp,DL2C,Petrol,MANUAL,"₹ 153,000"
1369,"6,398 km",2015 Mahindra TUV300 T8 AT,May 2019,First Owner,6/6/2022,3rd Party,DL8C,Petrol,MANUAL,"₹ 650,000"
1370,"39,779 km",2014 Hyundai Xcent S 1.2,May 2011,First Owner,7/9/2021,Third_party,DL4C,Petrol,MANUAL,"₹ 390,000"
1371,"22,708 km",2018 Tata Tiago XM 1.2 REVOTRON,April 2016,Second Owner,2/5/2021,Zero_Dep,DL3C,Petrol + CNG,MANUAL,"₹ 355,000"
1372,"55,979 km",2014 Maruti Ritz LDI ,January 2012,First Owner,31/1/2021,Comp,DL2C,Diesel,MANUAL,"₹ 250,000"
1373,"73,443 km",2012 Volkswagen Polo COMFORTLINE 1.2L DIESEL,September 2011,Second Owner,18/12/2020,Comprehensive,DL14,Diesel,MANUAL,"₹ 203,000"
1374,"32,222 km",2018 Maruti Swift VXI AMT,November 2015,First Owner,31/1/2021,Zero_Dep,DL4C,Petrol,MANUAL,"₹ 630,000"
1375,"32,121 km",2014 Fiat Grand Punto DYNAMIC 1.2,May 2015,Third Owner,5/6/2021,Insurance Expired,DL1C,Diesel,MANUAL,"₹ 240,000"
1376,"19,153 km",2011 Hyundai i10 MAGNA 1.2 KAPPA2,April 2018,First Owner,NA,Zero_Dep,DL8C,Petrol + CNG,MANUAL,"₹ 122,000"
1377,"36,898 km",2014 Hyundai i20 MAGNA O 1.2,May 2015,Second Owner,11/6/2021,Comp,DL8C,Petrol,MANUAL,"₹ 343,033"
1378,"54,074 km",2016 Maruti Swift VXI,January 2011,First Owner,8/3/2021,Comp,DL2C,Petrol,MANUAL,"₹ 400,000"
1379,"50,171 km",2015 Maruti Wagon R 1.0 VXI,February 2009,First Owner,13/8/2021,Expired,DL3C,Petrol + CNG,MANUAL,"₹ 295,000"
1380,"32,483 km",2013 Maruti Swift VXI,October 2015,First Owner,NA,Comp,DL3C,Diesel,AUTOMATIC,"₹ 285,000"
1381,"20,909 km",2012 Skoda Rapid ACTIVE 1.6 MPFI MT,December 2014,First Owner,26/12/2021,Zero_Dep,DL6C,Petrol,MANUAL,"₹ 205,000"
1382,"20,232 km",2012 Chevrolet Cruze LTZ,April 2018,First Owner,27/5/2021,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 325,000"
1383,"44,302 km",2012 Hyundai i10 ERA 1.1 IRDE,September 2014,First Owner,23/1/2021,Comprehensive,DL12,Diesel,MANUAL,"₹ 175,000"
1384,"55,261 km",2017 Maruti Alto K10 VXI (O) AMT,December 2012,First Owner,28/1/2021,Comp,DL6C,Diesel,MANUAL,"₹ 347,282"
1385,"19,328 km",2014 Maruti Swift VDI,September 2018,First Owner,28/12/2021,Zero Depreciation,HR26,Petrol,AUTOMATIC,"₹ 384,000"
1386,"27,980 km",2006 Honda City ZX GXI,January 2014,Second Owner,10/3/2021,Comprehensive,DL3C,Petrol,MANUAL,"₹ 75,000"
1387,"50,721 km",2020 Tata NEXON XZA + 1.2 PETROL A/T,January 2011,Fourth Owner,1/3/2021,Comprehensive,DL10,Petrol,MANUAL,"₹ 950,000"
1388,"37,208 km",2018 Hyundai NEW SANTRO SPORTZ 1.1,January 2014,First Owner,24/6/2021,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 428,688"
1389,"39,496 km",2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,March 2016,Second Owner,23/9/2021,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 385,000"
1390,"38,895 km",2018 Datsun Redi Go T (O),December 2015,First Owner,5/12/2020,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 235,000"
1391,"59,234 km",2017 Maruti Baleno RS 1.0 PETROL,August 2013,First Owner,23/7/2021,Expired,DL6C,Petrol,MANUAL,"₹ 458,470"
1392,"58,690 km",2011 Maruti Swift Dzire VXI 1.2 BS IV,August 2012,First Owner,30/5/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 220,000"
1393,NA,2017 Hyundai Elite i20 ASTA 1.2 (O),March 2012,First Owner,24/3/2021,Comprehensive,DL9C,Diesel,MANUAL,"₹ 583,000"
1394,"56,605 km",2018 Maruti Eeco 5 STR WITH AC PLUSHTR,NA,First Owner,28/3/2021,Insurance Expired,DL2C,Petrol + CNG,MANUAL,"₹ 280,000"
1395,"64,711 km",2015 Maruti Wagon R 1.0 VXI AMT,January 2012,First Owner,1/7/2021,Zero Depreciation,DL2C,Petrol,MANUAL,"₹ 270,000"
1396,"23,140 km",2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,March 2017,First Owner,11/2/2021,Comp,DL1C,Diesel,MANUAL,"₹ 345,000"
1397,"50,889 km",2016 Hyundai Elite i20 ASTA 1.2,February 2014,NA,17/5/2021,Comprehensive,DL7C,Petrol,AUTOMATIC,"₹ 484,918"
1398,"65,156 km",2010 Maruti Zen Estilo VXI,May 2006,First Owner,27/12/2020,Zero Depreciation,DL8C,NA,MANUAL,"₹ 130,000"
1399,"7,990 km",2013 Volkswagen Polo HIGHLINE1.2L PETROL,February 2020,First Owner,NA,NA,HR51,Petrol,MANUAL,"₹ 250,000"
1400,"14,079 km",2011 Tata Manza AURA QUADRAJET BS IV,November 2018,First Owner,2/11/2020,Comprehensive,DL8C,Petrol,MANUAL,"₹ 66,785"
1401,"49,891 km",2015 Maruti Swift Dzire VXI 1.2 BS IV,November 2016,First Owner,NA,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 350,000"
1402,"9,354 km",2017 Honda Amaze 1.2 S (O) MT I VTEC,January 2018,First Owner,24/7/2021,Zero_Dep,DL1C,Petrol,NA,"₹ 500,000"
1403,"37,597 km",2017 Maruti Baleno DELTA 1.2 K12 ,May 2017,Second Owner,22/11/2020,Zero_Dep,DL14,Petrol,MANUAL,"₹ 540,000"
1404,"54,653 km",2019 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,September 2011,Second Owner,NA,Comprehensive,DL14,Petrol,NA,"₹ 340,000"
1405,"28,732 km",2014 Hyundai Elite i20 SPORTZ (O) 1.2,November 2017,First Owner,29/12/2021,Comprehensive,DL3C,Petrol,AUTOMATIC,"₹ 416,000"
1406,"22,557 km",2016 Renault Kwid 1.0 RXL,February 2018,First Owner,10/3/2021,Zero Depreciation,DL8C,Petrol + CNG,MANUAL,"₹ 180,000"
1407,"39,986 km",2011 Toyota Etios G,November 2015,First Owner,31/5/2021,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 270,000"
1408,"45,570 km",2015 Maruti Ritz VDI ,October 2016,First Owner,NA,Insurance Expired,DL14,Petrol,MANUAL,"₹ 250,000"
1409,"32,847 km",2011 Hyundai Accent EXECUTIVE,March 2016,First Owner,11/3/2021,Expired,DL3C,Petrol,MANUAL,"₹ 180,000"
